@relation training6

@attribute GNoAffS numeric
@attribute GVL numeric
@attribute GFTime numeric

@data
0,0.974895,0.078887
0.254322,0.555091,0.157734
0.359008,0.453278,0.998889
0.22988,0.967922,0.076524
0.188387,0.343096,0.450476
0.323175,0.608255,0.119178
0.487609,0.653874,0.109335
0.068654,0.259957,0
0.189049,0.202028,0.123232
0.255526,0.521361,0.129163
0.347622,0.761043,0.086105
0.224548,0.667632,0.11704
0.302411,0.500362,0.13065
0.333389,0.842867,0.131054
1,0.217234,0.423457
0.309109,0.356988,0.134391
0.32937,0.75525,0.130519
0.293369,0.858074,0.136047
0.343269,0.462708,0.112894
0.397187,0.291818,0.124131
0.885131,0.769008,0.198764
0.310449,0.125996,0.114198
0.432853,0.641564,0.106467
0.336571,0,0.115749
0.382954,0.57929,1
0.004856,0.353367,0
0.937877,1,0.196053
0.28349,0.648081,0.123349
0.426825,0.561188,0.123062
0,0.344678,0
0.288681,0.457639,0.130558
0.892163,0.188993,0.199364
0.218855,0.761043,0.164583
0.35365,0.414917,0.115945
0.302411,0.527878,0.134
0.523067,0.800325,0.276552
1,0.594156,0.176735
0.257088,0.824675,0.321509
0.051546,0.542208,0.228505
0.444974,0.863636,0.041655
0.385825,0.795455,0.056336
0.338402,0.871753,0.280205
0.083892,0.165584,0.978575
0,0.49026,0.559216
0.693299,0.542208,0.224572
0.708247,0.836039,0.241641
0.485954,0.727273,0.007024
0.21701,0.920455,0.305423
0.257088,0.832792,0.323757
0.504639,0.647727,0
0.64884,0.839286,0.248736
0.498325,0.939935,0.20989
0.012242,0.483766,0.678561
0.172938,0.87013,0.285965
0.209794,0.824675,0.314765
0.022423,0.535714,0.529081
0.986598,0.594156,0.243467
0.249356,0,0.28723
0.172165,0.823052,0.302402
0.255284,0.824675,0.27599
0.102191,0.542208,1
0.509149,1,0.07186
0.960052,0.433442,0.204622
0.413273,0.873377,0.020933
0.948454,0.590909,0.173574
0.126442,0.562323,0.178054
0.20879,0.798867,0.132169
0.205577,0.946176,0.410504
0.524602,0.987252,0.909314
0.202511,0.522663,0.428757
0.136516,0.726629,0.677729
0.971821,0.844193,0.977491
0.205577,0.888102,0.440084
0.511024,0.711048,0.0935
0.364287,0.604816,0.309501
0.506789,0.706799,0.096674
0.464885,0.890935,0.193709
0.323989,1,0.177116
0.992116,0.382436,0.993868
0.233611,0.617564,0.124378
0.202511,0.8017,0.432148
0.196671,0.872521,0.169324
1,0.225212,1
0.149219,0,0.171128
0.205577,0.888102,0.426809
0.509709,0.32153,0
0.381224,0.570822,0.066734
0,0.444759,0.202799
0.745072,0.967422,0.39925
0.186013,0.604816,0.444845
0.376843,0.950425,0.317293
0.506789,0.706799,0.10663
0.203095,0.930595,0.432797
0.198715,0.740793,0.148546
0.13783,0.553824,0.175889
0.575791,0.619302,0.173675
0.293573,0.165858,0.153293
0.968203,0.308438,0.223882
0.417816,0.381183,0.096143
0.287517,0.529098,0.153194
0.518085,0.545102,0.083707
0.790713,0.622696,0.265295
0.528937,0.264791,0.337336
0.419667,0.408341,0.093776
