NoAffS,VL,VC,Time,Result,FTime,FResult,GNoAffS,GVL,GVC,GTime,GResult,GFTime,GFResult
127.0,891.0,966.0,,0.0,700.8,1.0,0.8913043478260869,0.583076923076923,0.6027397260273972,0,0.0,0.7746008911266957,1.0
64.0,1059.0,1020.0,,0.0,732.41,1.0,0.43478260869565216,0.8415384615384616,0.7876712328767124,0,0.0,0.8377589961837398,1.0
106.0,1109.0,1030.0,,0.0,702.91,1.0,0.7391304347826086,0.9184615384615384,0.821917808219178,0,0.0,0.7788167595756158,1.0
139.0,891.0,966.0,,0.0,673.74,1.0,0.9782608695652174,0.583076923076923,0.6027397260273972,0,0.0,0.7205338768007353,1.0
76.0,1050.0,922.0,,0.0,732.26,1.0,0.5217391304347826,0.8276923076923077,0.4520547945205479,0,0.0,0.837459289895902,1.0
142.0,891.0,966.0,,0.0,666.64,1.0,1.0,0.583076923076923,0.6027397260273972,0,0.0,0.7063477791764071,1.0
13.0,1109.0,1030.0,,0.0,314.53,1.0,0.06521739130434782,0.9184615384615384,0.821917808219178,0,0.0,0.0028172391056763735,1.0
127.0,899.0,966.0,,0.0,785.79,1.0,0.8913043478260869,0.5953846153846154,0.6027397260273972,0,0.0,0.9444144738156606,1.0
8776.0,2082.0,328.0,,0.0,47.88,1.0,0.8666530320073628,0.8011849901250823,0.7522935779816514,0,0.0,0.0049965255947851004,1.0
9452.0,2221.0,374.0,,0.0,47.93,1.0,0.9357807546783925,0.8926925608953259,0.8577981651376146,0,0.0,0.0051619734621620806,1.0
7379.0,865.0,0.0,,0.0,50.01,1.0,0.7237958891502199,0.0,0.0,0,0.0,0.012044604745044839,1.0
